username,login_time,logout_time,session_duration_seconds,source_os,remote_ip,lan_ip,auth_type,active_mac,login_hour,logout_hour,day_of_week,cluster_label,is_anomaly
43,2025-10-01 00:16:12,2025-10-01 09:44:25,34093,0,0,-1,1,b3:8b:15:dc:5b:eb,0,9,2,10,0
401,2025-10-01 03:05:46,2025-10-01 11:54:57,31751,0,0,-1,0,96:cc:8f:e2:70:1d,3,11,2,0,0
394,2025-10-01 04:55:22,2025-10-01 14:25:27,34205,0,0,-1,0,ec:ec:6e:a9:b4:61,4,14,2,0,0
249,2025-10-01 08:00:30,2025-10-01 16:14:38,29648,0,0,-1,0,91:25:3b:4e:35:21,8,16,2,1,0
454,2025-10-01 08:00:43,2025-10-01 15:34:51,27248,0,0,-1,1,68:38:ea:58:2f:53,8,15,2,2,0
294,2025-10-01 08:00:50,2025-10-02 00:48:08,60438,0,0,-1,1,5f:36:27:8a:bd:68,8,0,2,-1,1
238,2025-10-01 08:01:15,2025-10-01 15:07:39,25584,0,0,-1,0,5e:60:b0:41:e9:00,8,15,2,1,0
462,2025-10-01 08:02:15,2025-10-01 15:56:58,28483,0,0,-1,1,f9:af:b9:62:6e:b2,8,15,2,2,0
24,2025-10-01 08:02:18,2025-10-01 15:56:07,28429,0,0,-1,0,24:df:9b:3a:2a:e5,8,15,2,1,0
216,2025-10-01 08:02:19,2025-10-01 16:15:39,29600,0,0,-1,1,da:d3:48:9d:e3:4b,8,16,2,2,0
331,2025-10-01 08:02:35,2025-10-01 16:48:47,31572,0,0,-1,0,c9:da:2c:f6:a8:1e,8,16,2,1,0
443,2025-10-01 08:02:44,2025-10-01 17:11:15,32911,0,0,-1,1,4d:25:c6:e2:25:99,8,17,2,2,0
103,2025-10-01 08:03:34,2025-10-01 16:42:38,31144,0,0,-1,0,79:f5:78:1a:02:3c,8,16,2,1,0
282,2025-10-01 08:03:46,2025-10-01 17:38:13,34467,0,0,-1,0,87:4c:39:21:93:4e,8,17,2,1,0
287,2025-10-01 08:03:52,2025-10-01 18:00:07,35775,0,0,-1,1,79:3b:4c:d8:00:6b,8,18,2,2,0
78,2025-10-01 08:04:01,2025-10-01 16:59:27,32126,0,0,-1,0,e7:26:7f:e8:b2:96,8,16,2,1,0
381,2025-10-01 08:04:22,2025-10-01 17:51:23,35221,0,0,-1,0,04:fa:9b:03:11:6b,8,17,2,1,0
224,2025-10-01 08:04:26,2025-10-01 16:07:41,28995,0,0,-1,1,2c:84:79:b2:8b:ff,8,16,2,2,0
73,2025-10-01 08:05:13,2025-10-01 15:49:51,27878,0,0,-1,0,59:4b:7d:cc:b2:22,8,15,2,1,0
268,2025-10-01 08:05:23,2025-10-01 15:13:09,25666,0,0,-1,0,cf:fa:51:e0:64:38,8,15,2,1,0
499,2025-10-01 08:05:49,2025-10-01 17:50:04,35055,0,0,-1,1,ff:2d:3f:21:7d:fc,8,17,2,2,0
189,2025-10-01 08:06:36,2025-10-01 16:09:44,28988,0,0,-1,0,23:b8:a2:bd:60:d5,8,16,2,1,0
256,2025-10-01 08:07:38,2025-10-01 15:40:23,27165,0,0,-1,1,6a:0d:fe:96:2c:9e,8,15,2,2,0
157,2025-10-01 08:07:48,2025-10-01 15:57:20,28172,0,0,-1,0,45:ef:7b:01:3b:14,8,15,2,1,0
291,2025-10-01 08:07:54,2025-10-01 17:35:22,34048,0,0,-1,0,c3:ac:1b:f3:ab:9d,8,17,2,1,0
230,2025-10-01 08:08:12,2025-10-01 17:43:02,34490,0,0,-1,0,94:99:4a:94:4d:db,8,17,2,1,0
395,2025-10-01 08:08:20,2025-10-01 17:58:57,35437,0,0,-1,1,2f:32:b2:bd:75:95,8,17,2,2,0
265,2025-10-01 08:08:44,2025-10-01 16:19:35,29451,0,0,-1,0,fc:b3:23:62:25:a4,8,16,2,1,0
383,2025-10-01 08:09:27,2025-10-01 17:35:54,33987,0,0,-1,0,4d:8d:92:89:c9:45,8,17,2,1,0
437,2025-10-01 08:09:46,2025-10-01 17:09:43,32397,0,0,-1,1,50:1f:6e:c5:33:f3,8,17,2,2,0
493,2025-10-01 08:09:48,2025-10-01 16:38:03,30495,0,0,-1,1,26:b6:22:ad:a4:8c,8,16,2,2,0
459,2025-10-01 08:10:02,2025-10-01 16:39:16,30554,0,0,-1,1,62:c8:cf:71:2d:44,8,16,2,2,0
159,2025-10-01 08:10:43,2025-10-01 15:39:49,26946,0,0,-1,0,dc:6d:01:c2:61:e0,8,15,2,1,0
202,2025-10-01 08:10:48,2025-10-01 15:16:40,25552,0,0,-1,1,45:f8:93:e1:60:84,8,15,2,2,0
223,2025-10-01 08:10:53,2025-10-01 17:53:30,34957,0,0,-1,0,4b:90:2e:e7:f9:37,8,17,2,1,0
253,2025-10-01 08:10:57,2025-10-01 17:11:58,32461,0,0,-1,0,b1:5e:0c:d4:51:54,8,17,2,1,0
81,2025-10-01 08:11:15,2025-10-01 18:04:33,35598,0,0,-1,1,5d:01:42:f0:a2:18,8,18,2,2,0
141,2025-10-01 08:11:32,2025-10-01 17:05:39,32047,0,0,-1,0,5a:e6:7d:93:10:21,8,17,2,1,0
179,2025-10-01 08:11:35,2025-10-01 16:43:57,30742,0,0,-1,1,b1:d3:66:52:c1:0b,8,16,2,2,0
304,2025-10-01 08:11:41,2025-10-01 15:30:53,26352,0,0,-1,0,9a:d6:e9:13:1f:02,8,15,2,1,0
163,2025-10-01 08:11:45,2025-10-01 15:26:22,26077,0,0,-1,0,6b:65:f8:39:59:51,8,15,2,1,0
