username,login_time,auth_type,hostname,remote_ip,session_duration_seconds,hour,day_of_week,is_weekend,is_abnormal
varun,2025-06-13 03:49:16,local,varun-laptop,10.0.0.12,12128,3,Friday,False,1
rahul,2025-05-28 07:31:16,local,preeti-laptop,10.0.0.12,13913,7,Wednesday,False,1
rohit,2025-06-11 11:28:16,local,rohit-laptop,198.51.100.22,14018,11,Wednesday,False,1
vikram,2025-06-08 00:25:16,local,vikram-laptop,203.0.113.45,12417,0,Sunday,True,1
rohit,2025-06-16 01:47:16,sso,rohit-laptop,198.51.100.22,6904,1,Monday,False,1
swati,2025-06-13 15:53:16,local,swati-laptop,192.168.1.5,4357,15,Friday,False,0
swati,2025-06-08 08:01:16,local,swati-laptop,203.0.113.45,3340,8,Sunday,True,1
ankita,2025-06-22 13:29:16,local,ankita-laptop,198.51.100.22,10300,13,Sunday,True,1
sneha,2025-06-18 06:34:16,local,sneha-laptop,10.0.0.12,5882,6,Wednesday,False,1
priya,2025-06-04 05:36:16,ssh,priya-laptop,172.16.5.9,4695,5,Wednesday,False,1
deepa,2025-05-29 22:03:16,local,deepa-laptop,203.0.113.45,9325,22,Thursday,False,1
swati,2025-06-16 10:47:16,local,swati-laptop,172.16.5.9,13375,10,Monday,False,1
vikram,2025-05-26 21:35:16,local,vikram-laptop,198.51.100.22,10477,21,Monday,False,1
ritu,2025-06-04 21:49:16,vpn,ritu-laptop,198.51.100.22,10363,21,Wednesday,False,1
preeti,2025-05-27 18:25:16,local,preeti-laptop,172.16.5.9,11576,18,Tuesday,False,1
simar,2025-06-20 05:48:16,local,yash-laptop,203.0.113.45,5375,5,Friday,False,1
rajat,2025-06-20 18:43:16,local,rajat-laptop,192.168.1.5,10631,18,Friday,False,0
priya,2025-05-25 12:35:16,local,neha-laptop,172.16.5.9,11374,12,Sunday,True,1
simar,2025-06-09 20:55:16,sso,manish-laptop,203.0.113.45,10968,20,Monday,False,1
simar,2025-05-30 18:02:16,local,simar-laptop,203.0.113.45,877,18,Friday,False,1
vikram,2025-06-16 02:51:16,local,vikram-laptop,203.0.113.45,714,2,Monday,False,1
yash,2025-06-13 12:25:16,local,yash-laptop,198.51.100.22,4656,12,Friday,False,1
arjun,2025-05-27 04:23:16,sso,arjun-laptop,203.0.113.45,10500,4,Tuesday,False,1
neha,2025-06-07 01:31:16,ssh,neha-laptop,172.16.5.9,13383,1,Saturday,True,1
neha,2025-06-23 16:45:16,local,neha-laptop,10.0.0.12,12953,16,Monday,False,1
yash,2025-06-16 11:29:16,local,meena-laptop,192.168.1.5,8264,11,Monday,False,1
varun,2025-06-16 18:16:16,local,varun-laptop,192.168.1.5,12071,18,Monday,False,1
arjun,2025-05-29 15:43:16,sso,arjun-laptop,10.0.0.12,13455,15,Thursday,False,1
priya,2025-06-01 12:55:16,vpn,meena-laptop,192.168.1.5,11332,12,Sunday,True,1
rohit,2025-06-21 05:26:16,sso,rohit-laptop,192.168.1.5,11242,5,Saturday,True,1
rohit,2025-05-26 20:43:16,ssh,rohit-laptop,198.51.100.22,3750,20,Monday,False,1
kiran,2025-06-15 09:15:16,local,kiran-laptop,198.51.100.22,13100,9,Sunday,True,1
sneha,2025-06-22 13:51:16,local,sneha-laptop,172.16.5.9,12535,13,Sunday,True,1
arjun,2025-06-07 21:08:16,local,arjun-laptop,203.0.113.45,5115,21,Saturday,True,1
kiran,2025-06-19 06:02:16,ssh,neha-laptop,203.0.113.45,1618,6,Thursday,False,1
anil,2025-05-26 13:55:16,local,anil-laptop,10.0.0.12,3014,13,Monday,False,0
neha,2025-06-24 12:11:16,vpn,kiran-laptop,198.51.100.22,13815,12,Tuesday,False,1
sneha,2025-05-28 17:04:16,local,sneha-laptop,198.51.100.22,2935,17,Wednesday,False,1
ankita,2025-05-29 22:54:16,sso,ankita-laptop,172.16.5.9,4497,22,Thursday,False,1
anil,2025-06-19 04:35:16,vpn,anil-laptop,203.0.113.45,9314,4,Thursday,False,1
preeti,2025-06-22 05:34:16,ssh,preeti-laptop,192.168.1.5,655,5,Sunday,True,1
swati,2025-05-29 18:11:16,vpn,swati-laptop,10.0.0.12,12728,18,Thursday,False,1
priya,2025-06-16 10:09:16,local,priya-laptop,203.0.113.45,6915,10,Monday,False,1
manish,2025-06-19 08:20:16,local,manish-laptop,203.0.113.45,4501,8,Thursday,False,1
yash,2025-06-08 11:11:16,local,yash-laptop,203.0.113.45,510,11,Sunday,True,1
vikram,2025-06-16 23:03:16,local,vikram-laptop,192.168.1.5,8078,23,Monday,False,1
deepa,2025-06-08 17:52:16,local,deepa-laptop,203.0.113.45,6156,17,Sunday,True,1
ankita,2025-06-23 04:35:16,local,ankita-laptop,10.0.0.12,12636,4,Monday,False,1
meena,2025-06-13 15:26:16,ssh,meena-laptop,203.0.113.45,9821,15,Friday,False,1
deepa,2025-06-06 09:15:16,local,deepa-laptop,10.0.0.12,11992,9,Friday,False,1
neha,2025-06-21 22:10:16,ssh,neha-laptop,192.168.1.5,13193,22,Saturday,True,1
preeti,2025-06-09 20:08:16,vpn,preeti-laptop,172.16.5.9,10282,20,Monday,False,0
preeti,2025-06-03 10:58:16,vpn,preeti-laptop,192.168.1.5,8249,10,Tuesday,False,1
anil,2025-06-15 23:34:16,sso,ritu-laptop,172.16.5.9,11005,23,Sunday,True,1
varun,2025-06-09 19:38:16,local,varun-laptop,192.168.1.5,8614,19,Monday,False,0
meena,2025-06-17 10:14:16,vpn,meena-laptop,198.51.100.22,9365,10,Tuesday,False,1
anil,2025-06-23 21:20:16,local,swati-laptop,198.51.100.22,1589,21,Monday,False,1
rajat,2025-06-06 01:11:16,local,rajat-laptop,172.16.5.9,4399,1,Friday,False,1
vikram,2025-06-15 20:44:16,local,vikram-laptop,172.16.5.9,11429,20,Sunday,True,1
neha,2025-05-28 23:16:16,ssh,neha-laptop,10.0.0.12,7156,23,Wednesday,False,1
anil,2025-06-20 05:56:16,local,anil-laptop,192.168.1.5,8907,5,Friday,False,1
swati,2025-06-15 05:25:16,local,swati-laptop,10.0.0.12,11600,5,Sunday,True,1
rajat,2025-06-08 17:52:16,sso,manish-laptop,198.51.100.22,5794,17,Sunday,True,1
anil,2025-06-22 20:25:16,local,anil-laptop,192.168.1.5,745,20,Sunday,True,0
deepa,2025-06-05 11:49:16,ssh,ankita-laptop,198.51.100.22,976,11,Thursday,False,1
deepa,2025-05-25 05:04:16,local,deepa-laptop,172.16.5.9,12929,5,Sunday,True,1
rahul,2025-06-08 07:58:16,ssh,rahul-laptop,172.16.5.9,11904,7,Sunday,True,1
rohit,2025-05-31 22:12:16,local,rohit-laptop,192.168.1.5,12552,22,Saturday,True,1
rahul,2025-06-02 04:50:16,ssh,rahul-laptop,198.51.100.22,3673,4,Monday,False,1
