username,login_time,logout_time,session_duration_seconds,cpu_usage,memory_usage,gpu_usage
UID_000395,2025-07-01 08:00:05,2025-07-01 16:25:05,30300,11.4,74.2,0.0
UID_000102,2025-07-01 08:00:07,2025-07-01 16:26:20,30373,10.4,71.5,0.0
UID_000205,2025-07-01 08:00:10,2025-07-01 16:30:18,30608,13.7,67.1,0.0
UID_000161,2025-07-01 08:00:13,2025-07-01 16:50:28,31815,11.8,67.4,0.0
UID_000372,2025-07-01 08:00:13,2025-07-01 16:15:01,29688,10.9,76.6,0.0
UID_000192,2025-07-01 08:00:18,2025-07-01 16:24:42,30264,11.4,69.2,0.0
UID_000032,2025-07-01 08:00:20,2025-07-01 16:47:02,31602,12.4,70.9,0.0
UID_000188,2025-07-01 08:00:21,2025-07-01 16:37:02,31001,10.3,75.2,0.0
UID_000090,2025-07-01 08:00:25,2025-07-01 16:43:24,31379,12.1,73.4,2.0
UID_000471,2025-07-01 08:00:36,2025-07-01 16:47:26,31610,13.4,72.4,0.0
UID_000195,2025-07-01 08:00:43,2025-07-01 16:49:00,31697,12.8,68.0,0.0
UID_000272,2025-07-01 08:00:46,2025-07-01 16:54:32,32026,12.2,72.3,0.0
UID_000168,2025-07-01 08:00:48,2025-07-01 16:44:06,31398,12.3,67.9,0.0
UID_000034,2025-07-01 08:00:49,2025-07-01 16:52:08,31879,9.8,70.6,1.2
UID_000171,2025-07-01 08:00:49,2025-07-01 16:29:53,30544,12.4,72.2,0.0
UID_000179,2025-07-01 08:00:49,2025-07-01 16:25:15,30266,10.5,70.1,0.0
UID_000304,2025-07-01 08:00:51,2025-07-01 16:44:59,31448,11.3,69.4,0.0
UID_000277,2025-07-01 08:00:56,2025-07-01 16:10:27,29371,8.9,68.3,0.0
UID_000134,2025-07-01 08:00:58,2025-07-01 16:10:02,29344,8.9,71.3,0.0
UID_000143,2025-07-01 08:00:58,2025-07-01 16:32:20,30682,9.2,73.0,0.0
UID_000177,2025-07-01 08:00:58,2025-07-01 16:21:09,30011,11.9,70.3,0.0
UID_000445,2025-07-01 08:00:58,2025-07-01 16:08:09,29231,12.8,68.6,1.4
UID_000315,2025-07-01 08:00:59,2025-07-01 16:31:49,30650,11.9,73.9,0.0
UID_000401,2025-07-01 08:00:59,2025-07-01 16:30:55,30596,12.1,69.3,1.7
UID_000406,2025-07-01 08:01:05,2025-07-01 16:50:38,31773,10.1,70.6,0.0
UID_000323,2025-07-01 08:01:09,2025-07-01 16:09:19,29290,9.7,69.0,0.8
